Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R22,5.1k,R_0402_1005Metric,96.893704,145.487971,180.0,bottom
R3,27R,R_0603_1608Metric,-14.98875,109.36125,90.0,bottom
R4,1k,R_0402_1005Metric,-17.30375,126.3095,270.0,bottom
R5,1k,R_0805_2012Metric,-229.26,11.74,180.0,bottom
R6,1k,R_0805_2012Metric,-19.62,11.62,180.0,bottom
R7,1k,R_0402_1005Metric,-24.00875,112.39625,180.0,bottom
R8,5.1k,R_0402_1005Metric,91.014954,145.490036,0.0,bottom
U2,RP2040,RP2040-QFN-56,-18.2825,117.2175,180.0,bottom
U3,SRV05-4,SOT-23-6-routable,-16.325,105.98625,180.0,bottom
U4,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,-22.06375,106.56125,270.0,bottom
U5,XC6206,SOT-23,-10.02625,112.26375,180.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,-19.72875,125.3195,270.0,bottom
